text,label
7月21日凌晨众人爱心接力下的千斤宝宝在郑大三附院降生这几天有一群坚强的宝宝吸引了千千万万人的目光他们或在雨中降生或在众人托举中延续生命他们的名字都与这场暴雨有关雨婷千斤稳稳健健蕴含着牵挂与祝福L都市零距离的微博,5
2021年7月中旬以来河南遭遇历史罕见强降雨多地出现内涝洪水河南省公安厅高速交警总队八支队结合辖区实际情况第一时间在京港澳高速郑州新区收费站设立抗洪救灾党员先锋岗24小时值守救援转运滞留受灾群众保障救援物资车辆通行顺畅在抗洪救灾的关键时段凸显河南高速公安的力量八支队辖区郑州新区收费站临近郑东新区高校园区有不少受灾群众来自郑开大道附近省委党校新联学院等高校的师生还有省人民医院阜外心血管医院病人和医护人员由于郑开大道因积水受阻他们出行和接受救助的最佳路线选择是通过郑州新区收费站转行高速公路7月21日以来由此转高速公路通行的群众和救援车辆人员骤增八支队针对这一情况立即在郑州新区站成立抗洪救灾党员先锋岗抽调青年党员民警增调大部警力在岗科学调整勤务模式联合路政收费站抢险救援人员社会志愿者参与疏导交通维持秩序分发食物和物品调派车辆转运高校师生群众充分发扬共产党员冲锋在前的先进模范作用形成强有力的抗洪救灾合力据不完全统计自7月21日至今八支队出动警力和救援人员300余人次警车和救援车辆150余台次共协助转运救助河南师范大学新联学院省委党校中原科技学院河南地矿职业学院等十余所高校师生省人民医院阜外心血管医院部分医护人员病人和家属以及附近村庄受困群众5000余人护送救援车辆800台次目前党员先锋岗仍全天候高频运转全力为受灾群众提供服务河南暴雨救,1
失联寻人有消息请通知这个小弟弟还没找到,3
昨晚做志愿者的老公和其他志愿者军队共两万人在卫辉连夜筑坝长32公里高18米上宽1米下宽2米的坝昨晚更是卫辉的不眠之夜今天凌晨时分大雨如约而至还好只下了一个小时多卫辉加油,1
一定要平安啊放过我大安阳吧,5
自制美食一个饭盒制作虾仁厚蛋烧食材牛奶鸡蛋虾仁葱花胡萝卜步骤需要注意的点就是在倒第一层的时候可以薄一点只要覆盖到整个饭盒底部就好了熟了以后就把它卷起来继续到第二层直到第三层加了一点牛奶会比较嫩滑然后中间虾仁不要放太多不然的话会破掉深夜食,2
地铁公交都停运过马路水淹到腰水流湍急被大水困在关虎屯自保吧就地找宾馆过夜了,4
0803一定要平平安安,5
21日20时至22日15时河南省新乡市北中部遭受大暴雨特大暴雨国家防总秘书长应急管理部副部长兼水利部副部长周学文率应急水利住建卫健委等部门组成的国家防总工作组于22日赴新乡协助指导防汛救灾工作受强降雨影响当日新乡市多条河流超保卫辉市良相坡蓄滞洪区前稻田村后稻田村遭洪水围困工作组赶赴现场后与河南省政府主要负责同志一同协调组织被困村民救援从中央防汛抗旱物资储备郑州仓库中紧急调拨40艘冲锋舟协调应急管理部自然灾害工程应急救援中心2套动力舟桥前来支援当日上述力量即抵达救援现场工作组还现场了新乡市高铁站被淹城区内涝卫河汛情等情况此外工作组救灾小组22日赴登封市鹅坡武校安置点唐庄镇发达技术学校安置点实地民房倒损和基础设施损毁人员转移安置和受灾群众基本生活保障等情况工作组要求有关地方要坚持人民至上生命至上全力组织抢险救援确保受灾群众和救援人员生命安全要抓紧抢排涝水特别是城区地下空间积水要加快解决灾区电力通信和交通中断问题尽快恢复正常生产生活秩序要做好转移群众安置工作确保不落一人做好人员管理工作防止提前擅自返回造成安全问题要加快灾情排查和统计上报核准转移安置群众数量倒损民房和基础设施损毁等情况要加快摸清各受灾地区救灾物资需求及时调拨发放物资切实保障好受灾群众基本生活应急管理,4
郑州中牟县白沙镇康庄村村委会对面13号仓库最里面有一个孕妇被救人电话137,3
7月20日郑州特大暴雨济南全诚救援服务中心21日凌晨接到了郑州市防汛抗旱指挥部请求增援的函直到7月31日济南这家民间救援队先后派出4个梯队前期救援后续消杀整整11天这支救援队共出动队员29人车辆26台冲锋舟4艘先后在郑州市白沙镇中牟县新乡卫辉市的社区乡村医院等地开展救灾救援和消杀工作共解救转移受困群众2600多人次拖拽受困遇险车辆50多台转运生活物资200多箱开展防疫消杀作业142万平米O海报深度一支民间救援队在河南的11天他们从洪水里救了2600多人L大众网的微博,1
求大家带着巩义情况严重一起求求各位好心人了,3
众志成城抗暴雨万众一心阻水灾河南加油愿大家平安注意安全扩散,5
拜托大家多多把热度搞上去新乡现在缺物资缺设备缺救援人员新乡北到卫辉和辉县数不清的乡镇已经被淹已经有救援人员牺牲了我不知道图三常乐镇的村镇有没有被泄洪的洪水淹没只能祈祷形势还没有到炸堤那个地步祈祷没有人员伤亡救援信息搞上热度是我这样的普通人唯一能做,3
扩扩扩扩扩,2
河南为什么这次降雨那么强什么原因导致的河南洪灾你知道吗,4
浚县王庄镇需物资,3
看看安阳一万人被困了几天了没水没吃的没电,4
风浪再大我也不会放弃你,5
救救他们地铁一号线被困快12小时了郑州地铁一号线一两百人被困救救,3
演员谭松韵人美心善已经向郑州红十字会捐款50万元用于河南暴雨灾害救援物资谭松韵1990年出生于四川泸州总是可可爱爱的模样她今年31岁2007年考入北京电影学院19岁时出演了甄嬛传中可爱的吃货淳贵人之后也有旋风少女最好的我们以家人之摇滚不死少女万岁我这份倾慕亦不会认输L闻汤识面泡剧吧的微博,5
他值得真好20日晚在郑州地铁五号线救人的被郑州人民医院免试用期直接录用恭喜于逸飞,5
超市损失惨重,4
第一次感觉离死亡这么近昨天实习时还正在培训商场里就突然停水停电提前结束出商场回宿舍路上那水都到我们腰身了一群人手拉着手往前走就怕掉井里走路人还听到旁边的人说有两个人淹死了一路不敢停走到家天黑了看着旁边的积水里全是熄火的车还有路人骑不走的电动车回到宿舍没信号好在有水有电想想还有些后怕走路上雨下的越来越大遇到俩女生刚买的电动车淹水里骑不走买的贵重物品放商场负一楼拿不出来急哭了已经人没事就也还行愿郑州平安吧都在抢水抢面这辈子真第一次经历这种事情L超级无敌刘小浪的微博,5
李玉刚风雨同舟守望相助河南加油中原必胜,5
河南暴雨互助鹤壁浚县新镇牛村河堤决堤村民被困150,3
08月07日11时至14时我市出现雷阵雨局部大雨最大降水量出现在新郑市的后湖252毫米降水量在25499毫米的站点有1个10249毫米的站点有4个雨量较大的站点有郑州的庙李212聚源小学121郑州站96巩义市的南岭新村110河洛26登封市的少林水库78君召08荥阳市的槐林54贾峪02新密市的尖山06新郑市的后湖252郭店43王刘庄02中牟县的大孟110中牟站49郑州市气象台2021年8月7日1410发布临近预报目前较强回波位于郑州市区中牟新郑登封最大回波强度60dBZ预计未来2小时内郑州市区西部南部新郑北部登封和荥阳局部有阵雨雷阵雨局地伴有1小时20毫米的短时强降水7级左右的短时大风目前郑州雷电黄色预警暴雨黄色预警中请注意防范,6
洪灾告急这些建筑给我们带来防灾灵感O洪灾告急这些建筑给我们带来防灾灵感,4
触目惊心新乡高铁站都被淹成这样请求各地救援队伍驰援新乡,1
鹤壁鹤壁救助,3
河南洛阳市民自发前来慰问消防员,5
三门峡消防救援人员你们辛苦了郑州人民感谢你们你们是河南的骄傲7月28日河南三门峡市消防救援支队完成郑州一小区排涝任务后小区居民热情欢送并为消防员送上锦旗鲜花,5
老人有老人,2
王一博平安喜乐王一博粉丝人美心善牛,5
需要帮助的看这里,3
ba da k,2
